,Unnamed: 0,epoch,iteration,mode,accuracy,loss,loss_classification,earliness_reward,lr,mean_accuracy,mean_recall,mean_precision,mean_f1,kappa,earliness
0,0,1,,train,0.47,2.2866797,2.2898471000000002,0.0031674318,0.0012909944487358054,0.48270219728844105,0.48270219728844105,0.4851046698872685,0.4578005115084706,-0.02872670807453423,1.0
2,2,2,,train,0.62,2.05203,2.0558753,0.0038453272999999996,0.0025819888974716113,0.4936886395511836,0.4936886395511836,0.4904323175053026,0.4791666666661808,-0.014415376401494819,0.9925262928009032
4,4,3,,train,0.78,1.8923017,1.8972331999999998,0.0049315520000000005,0.0038729833462074173,0.6806919121084484,0.6806919121084484,0.7739192062366844,0.6984649122802082,0.4127068873465031,0.989578902721405
6,6,4,,train,0.81,1.6519266,1.6590258000000002,0.007099100400000001,0.0051639777949432225,0.7468443197755801,0.7468443197755801,0.7894736842105052,0.7617554858929036,0.5264207377866402,1.0
8,8,5,,train,0.86,1.4009436000000002,1.4158548,0.014911128000000001,0.006454972243679027,0.8541374474053098,0.8541374474053098,0.8329670329670152,0.8417005879687272,0.6839729119638825,0.9676841497421264
10,10,6,,train,0.81,1.3103228,1.3529663,0.042643535999999996,0.007745966692414835,0.8356708742402792,0.8356708742402792,0.7913961038960882,0.7973333333328267,0.6018440905280805,0.9024209976196288
12,12,7,,train,0.89,1.0761625,1.1913778999999998,0.11521538,0.009036961141150641,0.9114071996259716,0.9114071996259716,0.8666666666666492,0.8798995523523632,0.7619047619047619,0.7294737100601196
14,14,8,,train,0.81,0.9493495000000001,1.1640021,0.21465255,0.010327955589886443,0.8179055633473393,0.8179055633473393,0.7833333333333174,0.7925537722453666,0.5887445887445888,0.36621055006980896
16,16,9,,train,0.75,0.8091835,1.072437,0.26325357,0.01161895003862225,0.7477793361383651,0.7477793361383651,0.7208333333333189,0.7270444371651192,0.4588744588744588,0.22631579637527466
18,18,10,,train,0.78,0.7728644,1.0725471000000002,0.29968268,0.012909944487358056,0.6718092566619784,0.6718092566619784,0.7882352941176158,0.6894409937883359,0.4005449591280655,0.1899999976158142
