epoch,meadows,winter barley,corn,winter wheat,summer barley,clover,winter triticale
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,1.0,1.0,1.012228971687655,1.0,1.0,1.0,1.0
4,1.0294501645275176,1.0254115012107914,1.0,1.0392399723344528,1.0,1.0201092640419542,1.0
5,1.0071161830755575,1.0,1.0,1.0,1.0012359033242533,1.0,1.0
6,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10,1.0,1.0,1.0,1.0,1.0,1.0,1.0
11,1.0,1.0,1.0,1.0,1.0,1.0,1.0
12,1.0,1.0,1.0,1.0,1.0,1.0,1.0
13,1.0,1.0,1.0,1.0,1.0,1.0,1.0
14,1.0,1.0,1.0,1.0,1.0,1.0,1.0
15,1.0,1.0,1.0,1.0,1.0,1.0,1.0
16,1.0,1.0,1.0,1.0,1.0,1.0,1.0
17,1.0,1.0,1.0,1.0,1.0,1.0,1.0
18,1.0,1.0,1.0,1.0,1.0,1.0,1.0
19,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20,1.0,1.0,1.0,1.0,1.0,1.0,1.0
21,1.0,1.0,1.0,1.0,1.0,1.0,1.0
22,1.0,1.0,1.0,1.0,1.0,1.0,1.0
23,1.0,1.0,1.0,1.0,1.0,1.0,1.0
24,1.0,1.0,1.0,1.0,1.0,1.0,1.0
25,1.0,1.0,1.0,1.0,1.0,1.0,1.0
26,1.0,1.0,1.0,1.0,1.0,1.0,1.0
27,1.0,1.0,1.0,1.0,1.0,1.0,1.0
28,1.0,1.0,1.0,1.0,1.0,1.0,1.0
29,1.0,1.0,1.0,1.0,1.0,1.0,1.0
30,1.0,1.0,1.0,1.0,1.0,1.0,1.0
31,1.0,1.0,1.0,1.0,1.0,1.0,1.0
32,1.0,1.0,1.0,1.0,1.0,1.0,1.0
33,1.0,1.0,1.0,1.0,1.0,1.0,1.0
34,1.0,1.0,1.0,1.0,1.0,1.0,1.0
35,1.0,1.0,1.0,1.0,1.0,1.0,1.0
36,1.0,1.0,1.0,1.0,1.0,1.0,1.0
37,1.0071483023739602,1.0,1.0,1.0,1.0,1.0,1.0
38,1.002522930249633,1.0,1.0,1.0,1.0,1.0,1.0
39,0.6868516116940002,1.0527358066716372,1.0675963756823006,1.039200287753917,1.0308198402063193,0.7824625197221508,1.0462489867114977
40,0.6526941550178627,1.0607645699141464,1.0518519076363502,1.059669046667373,1.0354468815138544,0.7647983083342966,1.0556271690050094
41,0.634657897747278,1.0609541858031686,1.0604969326970677,1.0591514717886301,1.050300500133791,0.7352841906022186,1.0659624128225507
42,0.6833540365186105,1.0623093024791417,1.0483510784349983,1.066667669293779,1.046320875945576,0.7573608229754942,1.057102136367624
43,0.7363479935524399,1.044537000278261,1.0405276582669514,1.0389679175933417,1.0160667432152903,0.8245892650557454,1.023561492867171
44,0.6482872049125624,1.0592901673677169,1.0429889692022785,1.0482232471022614,1.0340025015468124,0.7535195133496934,1.056818213422546
45,0.6707424545322195,1.0623616461069008,1.049067580130654,1.05113757390786,1.035297294723426,0.7407116461236707,1.063304603436403
46,0.7132200805495441,1.0495590472926273,1.0552088268570745,1.0539329321195772,1.038690236905889,0.7635493615498202,1.0533885323707526
47,0.6703356948672171,1.0551548128973451,1.0391923012454982,1.0541521310327733,1.0252999409670733,0.7525138598336467,1.051512587617457
48,0.6873918910455903,0.6776146942248771,1.047447178586354,1.0779507058357727,1.0590392778868873,0.7116751330198257,1.0684735139710944
49,0.6590093091722824,0.7509226960259405,1.0494140350916694,1.0712790550113656,1.0460029258552164,0.7213075858949122,1.0628704966196119
50,0.7062912546866317,0.789134474043758,1.0414544349145483,1.05999456565709,1.0385731182507187,0.746669502100459,1.0541196626090885
51,0.6767020906847085,0.7793540840340688,1.0609824634651739,1.058733727181815,1.0441722355624632,0.7225019401162889,1.0438773174463032
52,0.6003480806135074,0.6684432023135223,1.0650710434013635,1.0808828484212716,1.0685529530369775,0.6935469195453332,1.0809441700745328
53,0.6656529491906154,0.680905378276604,1.0443863015643764,1.0863573009046994,1.0702973443078934,0.7209927080904924,1.0799328702723041
54,0.624856730275939,0.7324038269412334,1.0481610943317217,1.0773377963838704,1.0597173211731963,0.7009432506339652,1.0722956482118706
55,0.699042403653482,0.7256082753165046,1.028663452186944,0.9054210562955728,1.067688078209911,0.7528634866146721,1.0356866710508967
56,0.6488086266398725,0.6757471070979788,1.0460082239446027,0.7627094145331692,0.7657567127494437,0.6901140199427178,0.8391470429585364
57,0.6459791395474334,0.6786457374412931,1.0480421013531767,0.7324753504949563,0.6898107683832242,0.7011910743614567,0.7740739343945363
58,0.6762159017683966,0.6764587876517709,1.0589509363786997,0.7392889573940598,0.6454731836908532,0.7450596662203667,0.780363235315751
59,0.547947172592874,0.6512586277236587,1.0604544926273813,0.6941486614849302,0.633360013560548,0.6532128842826755,0.7083867608904595
60,0.582560300212067,0.6254065379529475,1.0663436759133413,0.6825165014560632,0.6420422902359412,0.6630816170934756,0.721363584955375
61,0.6163987724684858,0.6268875435876227,1.0613636999660367,0.6646742501821907,0.5839552412012529,0.6852033635186952,0.6768881154107809
62,0.6198922691175153,0.6966876537992145,1.0492852887710316,0.739230265097162,0.7023656588211824,0.7130746223016875,0.7838966112267093
63,0.637953368434191,0.6263222802826653,1.0571752475396976,0.6678818934762079,0.6796911616910539,0.7093807885121592,0.7083722672441245
64,0.6843435664622148,0.6977851949658536,1.0550352905718603,0.6792136076935568,0.6678205327003413,0.7501365994804123,0.7187796647404106
65,0.6352134042974863,0.6583147553574245,1.054935374010205,0.6487434242783076,0.6234950413462857,0.6917703073542313,0.6750391951157415
66,0.6887278660023194,0.6738814681160833,1.0496824001638174,0.7077846949220058,0.7062868949901402,0.7641816687583862,0.7679222541765569
67,0.5741535626957436,0.5926804994937759,1.0722284669195807,0.6821855330460453,0.6142471195407364,0.6353984183391643,0.6918515538417133
68,0.6329560576244331,0.6525980631688151,1.053204470925204,0.6692710985205754,0.5997474793456603,0.7123318231266155,0.6829722274745705
69,0.586308012879467,0.6968735108571844,1.049165293587828,0.672425545657462,0.6649586486540986,0.6897847086694788,0.7017341712581286
70,0.6143637269256823,0.6174441414821852,1.0646953025639114,0.66127226697284,0.6067799418481958,0.6465610453706047,0.6857554529809502
71,0.6047385485997002,0.6486345957985489,1.0653865152537942,0.6491983615971693,0.6048713101231982,0.6655845292308514,0.6713051141350713
72,0.6098416107082266,0.6193686146878168,1.0707601640270799,0.6691407805214796,0.6582337773917567,0.6701663043579338,0.7166072485776859
73,0.627772193478107,0.6191640599389189,1.0614201881732965,0.6683749584591966,0.5999576313900896,0.704037245824994,0.6967675191493148
74,0.6471470005326122,0.6274061122060397,1.0516729981053121,0.6649426307013244,0.6392675187329032,0.7183518989609066,0.6915176183091656
75,0.6122170079496668,0.6339197143930997,1.0631286595130864,0.6802992919187191,0.5918609672884031,0.697132786907735,0.7154351801088566
76,0.6635076882697294,0.6520415677106375,1.046267573478252,0.6712838171249556,0.6561622816919626,0.7309112881351397,0.715890944941365
77,0.632059214633778,0.6092711328899283,1.0645940321295315,0.6738113090794111,0.5856550517916326,0.7022899442181028,0.6840674066328095
78,0.5584923382204393,0.6343042913792635,1.0703956703328814,0.668119275176162,0.5729422082053641,0.6197466285747071,0.6934394988347157
79,0.6131737685778489,0.6845496569008598,1.0632885520176059,0.6995746169278556,0.6761029232473033,0.70568923590755,0.7371262507730901
80,0.6392872052008529,0.6117321154110869,1.059493649854155,0.6633435189343204,0.6259902634193225,0.6789610559350119,0.6996878250416763
81,0.5984149763361462,0.6237754433297146,1.0659090323758273,0.6269314941080675,0.603847350629929,0.665378379224225,0.6696295784239142
82,0.629914767320875,0.6170103921312592,1.0597384816633755,0.6689004223673167,0.6719462331792324,0.6710832298081753,0.6997126671630667
83,0.6130945714837568,0.6553950882334403,1.060370957218476,0.6718008805428841,0.6436235926127226,0.6786031244421709,0.7016109504849681
84,0.5673122064550999,0.6062085319657473,1.0643933980714018,0.7090664995170552,0.658225439407476,0.6388350595371824,0.7390026242049879
85,0.6214436888130139,0.6070937991080186,1.058387658792488,0.6522141570178047,0.656333962743468,0.6850265713256559,0.7099112483153096
86,0.6245449784334561,0.6479941455349592,1.0564045235124977,0.6926666978195318,0.6683453756043978,0.6921692536239147,0.728955634863853
87,0.5579941784327345,0.6130457530211315,1.0656771584519091,0.6491032098345231,0.5968927412196576,0.638568894215455,0.6871017406579696
88,0.6203434040790301,0.6650584690055406,1.0612883655564456,0.665676809881755,0.6574142753081706,0.696355173500948,0.6956010542382698
89,0.6160020004579394,0.6230824504965197,1.060548298600859,0.6936428438516684,0.6555307378001181,0.6874072538329521,0.7307110924394908
90,0.5909223790963716,0.6038093789336405,1.070663644713554,0.6680782893154192,0.6149230096987988,0.6511087973527117,0.6975403027061854
91,0.5884708607283854,0.6482764340152124,1.0590946848926945,0.68487714077027,0.6034989860536136,0.6760386346803087,0.6937566315584826
92,0.5602088851934774,0.6087719943332254,1.0588512448325664,0.6790348809406203,0.6484263042927709,0.6744216119729987,0.7067046457088175
93,0.6065097596690793,0.5849897772664328,1.0774936470328313,0.6300014611882251,0.6114243060523501,0.6821094087400349,0.6675719284723238
94,0.5929730297421939,0.6056303896864804,1.0739182546153925,0.6359052603521492,0.6011622478295772,0.6568784291367857,0.6722280345730155
95,0.6063973961758589,0.6233181374044856,1.067047117607382,0.6792050690566196,0.6126192300470089,0.6796224917982082,0.6874278182732377
96,0.5302531395277652,0.6058305667760341,1.076099938793595,0.670254078919936,0.6274244726426275,0.6259594771959006,0.685142616683921
97,0.6336546410725936,0.6312424805206873,1.052418407125499,0.6379797545780552,0.6653678409635695,0.7058285937433714,0.6511172003045937
98,0.5858992543218403,0.6106072291068831,1.0709179286682524,0.6425450770391521,0.6077251790605029,0.6578149702132481,0.6828477932559355
99,0.6058489927046995,0.6118587429129879,1.067293533432397,0.6415949640792635,0.6217945597269814,0.6590888470532712,0.6746026500966774
