,Unnamed: 0,epoch,iteration,mode,accuracy,earliness,earliness_reward,kappa,loss,loss_classification,mean_accuracy,mean_f1,mean_precision,mean_recall
0,0,1,,train,0.1444578313253012,1.0,0.07404698,-0.0003662585008496025,8.886453,8.9605,0.1425750973955046,0.11972744620013087,0.1483354997330919,0.1425750973955046
2,2,2,,train,0.14427710843373495,1.0,0.063788734,0.0013976147673339402,8.53139,8.595179,0.14404326546945165,0.12861466445238934,0.14643897813627246,0.14404326546945165
4,4,3,,train,0.16,1.0,0.064147055,0.019286525252747887,8.500608,8.5647545,0.15954569557707513,0.1500069224668576,0.1645814174891569,0.15954569557707513
6,6,4,,train,0.22295180722891567,1.0,0.08675888,0.0938538575286064,8.1664915,8.253249,0.2229752338685216,0.1907190800238762,0.27025318616597543,0.2229752338685216
8,8,5,,train,0.212710843373494,1.0,0.09175497,0.08132112067665931,8.183661,8.275414,0.21288926959494045,0.1839413688236144,0.2136177284130273,0.21288926959494045
10,10,6,,train,0.298855421686747,1.0,0.11775050000000001,0.18211627039340053,7.600098599999999,7.717849,0.2995298702572141,0.27287407728639185,0.2917922368964104,0.2995298702572141
12,12,7,,train,0.3335542168674699,1.0,0.15970266,0.22187807058532774,7.211842999999999,7.371546,0.3315157557615203,0.29025907942352763,0.3200396561724485,0.3315157557615203
14,14,8,,train,0.3578313253012048,1.0,0.16812626,0.25052528264371937,6.930187700000001,7.098314299999999,0.35780028408306785,0.31001834896968955,0.3397916005460653,0.35780028408306785
16,16,9,,train,0.3919277108433735,1.0,0.1954621,0.2910670875372497,6.663175999999999,6.8586383,0.3937091831983566,0.3424279088870032,0.3740626388501401,0.3937091831983566
18,18,10,,train,0.4712650602409639,1.0,0.28469035,0.38276862481722135,6.163823000000001,6.4485135,0.4695490651811847,0.4196547307578956,0.44369542147053576,0.4695490651811847
20,20,11,,train,0.5087349397590362,1.0,0.374806,0.426924653145758,5.7743683,6.1491737,0.5082396060390748,0.4835566429334411,0.4892586461463505,0.5082396060390748
22,22,12,,train,0.526566265060241,1.0,0.39250717,0.4474132693008619,5.6591372,6.0516440000000005,0.5255080527990902,0.5065092363880518,0.5065065111286255,0.5255080527990902
24,24,13,,train,0.5374096385542169,1.0,0.42825773,0.4604910535589963,5.5548115,5.983069400000001,0.5391070842878587,0.5192517125631654,0.5185395033279183,0.5391070842878587
26,26,14,,train,0.5701204819277108,1.0,0.47824803,0.4980322729158312,5.231731,5.7099785999999995,0.5654501104033224,0.5586890129310984,0.5575337378418724,0.5654501104033224
28,28,15,,train,0.587710843373494,1.0,0.50974584,0.5188965982086307,5.048331299999999,5.558077,0.5847035104013016,0.5781339047641413,0.5747725189326695,0.5847035104013016
30,30,16,,train,0.6071686746987952,1.0,0.5468379,0.5416836743386383,4.8380547,5.384892,0.6087618566699371,0.6049833442454456,0.6032816363486957,0.6087618566699371
32,32,17,,train,0.6394578313253012,1.0,0.58992815,0.5793528399902973,4.6485667,5.2384949999999995,0.6385284769369809,0.6387076601837339,0.6425825186565042,0.6385284769369809
34,34,18,,train,0.6372289156626506,1.0,0.5940401999999999,0.576765420244699,4.7526617,5.346701599999999,0.6364865977022796,0.6344452384553171,0.6331091311444904,0.6364865977022796
36,36,19,,train,0.6517469879518072,1.0,0.6407854000000001,0.5936619209901708,4.4450536,5.0858393,0.6521893992160784,0.6514249457724983,0.6511603022206852,0.6521893992160784
38,38,20,,train,0.6801807228915663,1.0,0.66608936,0.6267821211521167,4.281311,4.9474,0.679904697515431,0.6800229757375801,0.6808088418261661,0.679904697515431
40,40,21,,train,0.6937951807228916,0.9985289573669434,0.7024635,0.6427202544365579,4.198658,4.901121,0.6930257952670786,0.6927525883889615,0.6934276026229842,0.6930257952670786
42,42,22,,train,0.6931927710843373,0.9306239485740662,0.7438093000000001,0.6420326491435537,4.118405,4.862215,0.6944353033150313,0.6939129679600791,0.6938956087526326,0.6944353033150313
44,44,23,,train,0.7100602409638554,0.93025541305542,0.79070693,0.661743909684822,3.9563267,4.7470345,0.7086237726069238,0.7076219596424235,0.7074862541219342,0.7086237726069238
46,46,24,,train,0.718433734939759,0.9266831874847412,0.8203940999999999,0.6714930953063529,3.8610508,4.681445,0.7175067990384524,0.7172093060533008,0.7171702547574849,0.7175067990384524
48,48,25,,train,0.6985542168674699,0.9273841381072998,0.80580544,0.6482145113258895,3.9334555,4.739261,0.698148337890318,0.6974416081692613,0.6975210265035366,0.698148337890318
50,50,26,,train,0.7275903614457832,0.9206936955451964,0.86595476,0.6821667339513925,3.6633077000000003,4.5292625,0.7269187198718624,0.7263560869882453,0.7264051044056329,0.7269187198718624
52,52,27,,train,0.7312048192771085,0.9306471347808838,0.8849351999999999,0.6863578198295452,3.675997,4.560932,0.7329684995284624,0.7331975023727078,0.7350431794435578,0.7329684995284624
54,54,28,,train,0.7325301204819277,0.9230230450630188,0.88651973,0.6879347995093923,3.6241627,4.510683,0.7338063362669722,0.7333670913157231,0.7346673790108129,0.7338063362669722
56,56,29,,train,0.741144578313253,0.9167378544807434,0.91474664,0.6979225557592617,3.5550230000000003,4.4697695,0.7403770050885431,0.7403490233506089,0.7423518010875936,0.7403770050885431
58,58,30,,train,0.7448192771084338,0.9238183498382568,0.9226136999999999,0.7022023371595739,3.4449542,4.367567500000001,0.7463513731477617,0.7460713466427051,0.7485170298268268,0.7463513731477617
60,60,31,,train,0.7601807228915662,0.9212331175804138,0.95130527,0.7201874346092685,3.3318818,4.283187,0.7617094867481019,0.7615163107680631,0.7626463091712188,0.7617094867481019
62,62,32,,train,0.7689156626506024,0.9262294173240662,0.9919631,0.7303792021141439,3.1754277,4.1673903,0.7696116128668354,0.7691079623956024,0.7696610511497042,0.7696116128668354
64,64,33,,train,0.7689156626506024,0.9224478602409364,1.0003799999999998,0.7304064303334815,3.1681802,4.16856,0.7690525676065791,0.7688439773664022,0.7694080164196186,0.7690525676065791
66,66,34,,train,0.7795783132530121,0.9165397882461548,1.0273086999999999,0.7428098216470965,3.0895586,4.116867500000001,0.7785316295763443,0.7783134322451147,0.7792156219729122,0.7785316295763443
68,68,35,,train,0.7871084337349398,0.9166010022163392,1.048693,0.7516279942792016,3.0032103,4.0519032,0.7867269807406859,0.7865845667148527,0.7877620142531053,0.7867269807406859
70,70,36,,train,0.7874096385542169,0.9156111478805542,1.0404735999999999,0.7519325224820388,2.9869517999999995,4.027425,0.7856184289562794,0.7853144461663071,0.7857626782701487,0.7856184289562794
72,72,37,,train,0.7966265060240963,0.9169068336486816,1.0704358,0.7627474999152029,2.8734791,3.943915,0.7974050356744168,0.7966254891997756,0.7970028707503057,0.7974050356744168
74,74,38,,train,0.7987349397590362,0.9121800661087036,1.0865141,0.7651717559061926,2.864661,3.951175,0.7980218847278049,0.7978441918793466,0.7991944974060201,0.7980218847278049
