epoch,meadows,winter barley,corn,winter wheat,summer barley,clover,winter triticale
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10,1.0,1.0,1.0,1.0,1.0,1.0,1.0
11,1.0,1.0,1.0,1.0,1.0,1.0,1.0
12,1.0,1.0,1.0,1.0,1.0,1.0,1.0
13,1.0,1.0,1.0,1.0,1.0,1.0,1.0
14,1.0,1.0,1.0,1.0,1.0,1.0,1.0
15,1.0,1.0,1.0,1.0,1.0,1.0,1.0
16,1.0,1.0,1.0,1.0,1.0,1.0,1.0
17,1.0,1.0,1.0,1.0,1.0,1.0,1.0
18,1.0,1.0,1.0,1.0,1.0,1.0,1.0
19,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20,1.0,1.0,1.0,1.0,1.0,1.0,1.0
21,0.9891374761217716,0.5882031627633997,0.9788290234137433,1.0,1.0,0.9430108300161696,0.9718756723247352
22,0.9696382279062036,0.36426168658828434,0.9900806373144151,0.8880779814733504,0.9377709671001517,0.9377042197105159,0.941542056714881
23,0.967478690388536,0.3456317169915835,1.0,0.9261813460243493,0.9457037234067306,0.9462996020034118,0.9611222529194867
24,0.9754025963139688,0.35478515181158177,0.9729645469314953,0.9504378665056292,0.9673626097922439,0.9490644508048455,0.9644309973518709
25,0.9561034114753396,0.33970025688374644,0.9766889973468149,0.9128779069090849,0.9381618536024834,0.9321332116100388,0.9429547883352418
26,0.9748856908525334,0.37423669712018204,0.9729005182698228,0.9481249266156597,0.9587452882412619,0.959697296737768,0.9692753396042648
27,0.9730263032588361,0.38012486600811735,1.0,0.9296621809328568,0.9738583818226628,0.9537103016849727,0.9397183014871759
28,0.9470946369819352,0.3238384618239842,0.9704557554193559,0.8618193322358262,0.8660651503027947,0.9021613281933296,0.9150909024973801
29,0.9669018221907876,0.3437675122049644,1.0,0.9296001917300326,0.9383275899831559,0.950537881429325,0.9440218059192953
30,0.9537960688964993,0.3075057614788166,0.9691567623381732,0.8888110164307167,0.9198795043852924,0.9146350176405805,0.9412072035091028
31,0.9570326208440371,0.32481539275665794,0.9457714896129941,0.9273210971943934,0.9329726342844727,0.9237470435333985,0.9379174280944941
32,0.9661483182557988,0.3449961856218674,0.9844859494692343,0.9083457238965607,0.9266274020969747,0.9400548103990892,0.9367669614030962
33,0.9615853606541593,0.34307983769657774,0.9680039359280033,0.9322001927706088,0.9354006046385787,0.926782233466553,0.9521063604659993
34,0.9563627779550237,0.30206656236673624,0.9645189763055527,0.8693337564566382,0.9003281846537784,0.9227002089669403,0.9224657271982265
35,0.9704590568856845,0.3576249815247522,1.0,0.9453377670724191,0.9688289587382872,0.9496147278483118,0.9699647646413577
36,0.9537217873908721,0.3067861144516526,0.9801724366761991,0.9120872937046219,0.9147910287900635,0.9127344017831847,0.9326771322678808
37,0.945651550144874,0.3185234027773526,0.9731982638431355,0.8759626147701682,0.8960826857350386,0.887718519718392,0.9014671491654535
38,0.9553462495793139,0.33165277467951904,0.9844039027929122,0.8661238576681076,0.8761332928364625,0.939585321709848,0.9199134564894385
39,0.909488554689453,0.32652699988740685,0.9552072564782506,0.4965268358564175,0.4479328707262354,0.8423231799977332,0.4922078190995914
40,0.9188273442066961,0.3324431296206196,0.9205489658278373,0.47718662261201134,0.44739450203665665,0.8738549414480692,0.47927431666225284
41,0.9208460517457748,0.31961241862965595,0.9257891518503674,0.5169296869022991,0.4659299842977225,0.8668686236974283,0.5173712889754409
42,0.9462295147059154,0.35147420358420467,0.9667248767915619,0.5200204972553365,0.452605707149046,0.9020448404604873,0.5302942550859605
43,0.899660603054671,0.33337115137871953,0.9492666384286259,0.49184401266934863,0.4482999145649772,0.8512960315065702,0.49350249244283606
44,0.9215482236223522,0.34712569639434865,0.9391328835113999,0.5135472032774923,0.46418011324399644,0.8661741431504434,0.5202670725677437
45,0.9347144992416697,0.3494351221093162,0.9462231033523267,0.5096002803782842,0.4233398900897233,0.8901325101154888,0.5183190201068619
46,0.9365880551638947,0.3790788920426726,0.9637731200926981,0.4893494536349259,0.43730865333779156,0.9076174062755471,0.5064821877341507
47,0.8852970418791958,0.33574972293040817,0.9393305956624716,0.4820305553737942,0.4010417149615031,0.8212955811017265,0.49739110182055263
48,0.9065792182718018,0.3290217220223649,0.9438676420268228,0.4742182662212763,0.3453893247198958,0.853286280026759,0.4933346334468478
49,0.9219459153336935,0.3278347567197456,0.9249226559410549,0.46667156989047465,0.32901731163422715,0.8609411200520243,0.4918203758762823
50,0.9133372968831391,0.32597880344299424,0.9100409735162684,0.47353761266385663,0.3100862992083726,0.8615024864321082,0.4874434251208881
51,0.9247979117509578,0.32944489325122034,0.9175920557529721,0.4613665196964279,0.2910139350087458,0.8670810257582799,0.482369664104041
52,0.9209230465526329,0.3331979752399735,0.9090436501506606,0.45379083337032694,0.3314576467540414,0.8694570581244532,0.4862902128318923
53,0.8874807885867981,0.3181992535602989,0.9239186519746654,0.47386796153391175,0.3512727372902441,0.8179791661296356,0.4981184874796801
54,0.9241528377349175,0.3530176130364921,0.9518724762411743,0.49884319719812736,0.43420320037845117,0.8950327258467253,0.5152922889719287
55,0.903214712946275,0.31855489710437157,0.9559770978219134,0.47721321934952743,0.36857930963041985,0.8453291857770534,0.5036135034482871
56,0.9114159073261955,0.3060639726068198,0.9364504351665641,0.5064555569470153,0.38259829033609116,0.8609946535817646,0.5237244556009882
57,0.904861253196388,0.31643710557687155,0.9429508717453244,0.5098101120492466,0.33355185919143016,0.8526075192937043,0.5216068539337996
58,0.8999509942344686,0.3552440181882729,0.94319039997057,0.425390944553233,0.2993196724763643,0.858073838825071,0.4726332969835016
59,0.9300652532292372,0.35008355438078353,0.9390031976554496,0.47163286232303536,0.35473692406133783,0.8832997916017713,0.4965925217901124
60,0.8983915598673143,0.33394570766899656,0.9284492844002594,0.4655070803371181,0.3486641592553184,0.8415652034077126,0.4947512353885632
61,0.9161598037875338,0.30177369496171325,0.9261494837159137,0.4637330190075902,0.292245227107833,0.869506252670489,0.49133958195986316
62,0.9104117366807406,0.3274917725162565,0.9296391028258398,0.441340821822669,0.3387446517560918,0.8787465191566974,0.47914368638625027
63,0.9134155524289832,0.332480951862822,0.9520536305007853,0.44584294357715193,0.33781238960945204,0.8515257199423781,0.47935978747455527
64,0.8406607334264365,0.3430374684820475,0.9198125172212221,0.4693183863878749,0.3705575739635446,0.5154970267983088,0.5078589226032781
65,0.8438946607580688,0.38229248361857815,0.9331009021022368,0.4242908485858719,0.35361956161975483,0.5398906913949936,0.4751969757574042
66,0.6840442356486173,0.36317224371068796,0.9266647467747138,0.4043313190474196,0.33238626840673896,0.4284253469974769,0.4586869742974786
67,0.5362697550076323,0.3141140434595292,0.868509799537761,0.4793529251845303,0.2755828573940885,0.43383400445256853,0.5097694286234229
68,0.49587370508441936,0.348415484452247,0.9171218285373754,0.471913999102449,0.327694829719953,0.43653706835965744,0.5168062394015049
69,0.4272715690599874,0.33635844354737354,0.9296891606130423,0.4507415180913757,0.33847083329065386,0.4068420903580764,0.50607100908983
70,0.4318318151555787,0.3425992949180301,0.9094038901171948,0.4698209835475501,0.34463172462422553,0.4012416869120928,0.51467719521811
71,0.4429574556509921,0.3398807159167918,0.9070289178563488,0.47006426587206745,0.29090456104913626,0.40138772270024636,0.5057724791506075
72,0.44115613511867147,0.3358084775540112,0.9293034770302961,0.46707303852236426,0.30977207845283194,0.43027250353007723,0.5098339485673039
73,0.41209344878744464,0.3432910417887082,0.9186537631616236,0.4504691012466247,0.31644661656941264,0.41493137523639834,0.4971765314999558
74,0.437470447114412,0.32369670166675585,0.9409285336097027,0.4503367988125866,0.32061237171751156,0.4260647428521456,0.49928489167459666
75,0.4099940066623471,0.3411117992935865,0.9413632860603178,0.493781756470945,0.32952688840486744,0.41280887990109694,0.5195892747529872
76,0.4584267832722937,0.33127380119478994,0.9196614451562626,0.4537069300123595,0.3277379089445922,0.4304016834108314,0.49909099847964533
77,0.42461439073480645,0.3259334602235289,0.8886075146830503,0.45592680695689747,0.24091794073304285,0.4082687755081153,0.4689642402064107
78,0.3926974621703219,0.3216021201180769,0.9073204754976668,0.45411825870412953,0.27510630624231247,0.3954473063957903,0.4935376068205563
79,0.42475573954356993,0.35934920674958304,0.9280368088729434,0.4486996883919956,0.31068874432740234,0.41538672668134535,0.47809953688648626
80,0.42470559763853666,0.3406219612432613,0.9123299497405011,0.4530081422541065,0.3512392356542665,0.4141992443338862,0.4964885834999778
81,0.42965568018994765,0.35086467125423554,0.9069381408840834,0.43741269331136495,0.27672849599462546,0.41489464677658844,0.4743398973081667
82,0.43314357922968955,0.32870712007972597,0.9130284848939291,0.41588039991875075,0.2693911668860144,0.4084877099340505,0.47359126881509345
83,0.41778695468847127,0.3338170023468099,0.904045140653742,0.427103515862669,0.2525919296325982,0.4062575935538537,0.4683129006564592
84,0.39670416867075375,0.3212868368994465,0.8310539194889865,0.46989098545221175,0.31865338952107974,0.3883211060596777,0.5044811878603472
85,0.4074615067024616,0.3320170918816392,0.4441605736913158,0.4344221975938131,0.28547598072222324,0.3959755481538497,0.47921814443215327
86,0.4065752311233243,0.37023464195229966,0.4702329945281722,0.45093048314202544,0.3266291095906141,0.40346192840054695,0.4896575232079651
87,0.33893406913480406,0.3541553606973903,0.4549774626802849,0.42922395741116137,0.30587600449549446,0.3803344413852292,0.46523514640684405
88,0.41226542013062334,0.34933890298405307,0.4456643621555245,0.44147781374176465,0.3097778364628696,0.4079987727666774,0.45949669911179136
89,0.3711693807921654,0.3409560606725266,0.3911857302506354,0.4396176582680746,0.3100587273815859,0.3942455633581469,0.48881308563831727
90,0.3726724557223288,0.34081122255249074,0.40199672146529647,0.4306426289153851,0.28541606678133885,0.3966610686247646,0.4762464323048802
91,0.37164374967342495,0.3566095222033345,0.4445842513322387,0.44817922024503554,0.292624745248276,0.4058434516219902,0.47799074893138815
92,0.3777826856938506,0.3580457840705828,0.4215474816672357,0.47644665881549364,0.28574906349068874,0.4088484711138959,0.4919434549440026
93,0.3245516004013991,0.3476908808638894,0.4589423431909894,0.44928509717136894,0.3383457536852794,0.3650970166554295,0.4741432807170405
94,0.43366064044096864,0.32425803673250986,0.3570977170331321,0.42783038610599256,0.2650378580028555,0.40456982562782917,0.4497316751637139
95,0.3811860182652133,0.34270677772801983,0.3965937907515685,0.43177793821510957,0.25338873297590303,0.4011740463578687,0.4680203453260404
96,0.3888308658512386,0.3422436775773864,0.373573470349276,0.4142437629065262,0.32198586688416,0.4062428062333657,0.45429867024668225
97,0.3565074636194992,0.34701292544164686,0.4521594546610702,0.4246937538506871,0.2718557459566192,0.3950320705214103,0.45841064297721107
98,0.3625811111207351,0.33538129273870954,0.38414901129253554,0.44350611085431124,0.30823402484468065,0.3967058285678544,0.477882352787464
99,0.377748365475514,0.3592861981911788,0.39860950471027357,0.4647197571568278,0.27005886277408075,0.39795829797070625,0.47348762028059466
