,Unnamed: 0,epoch,iteration,mode,accuracy,earliness,earliness_reward,kappa,loss,loss_classification,mean_accuracy,mean_f1,mean_precision,mean_recall
0,0,1,,train,0.14819277108433734,1.0,0.5855366,0.0058350793890184615,3.9130397000000006,4.4985766,0.14798812669522507,0.1386037571381516,0.14864115074108006,0.14798812669522507
2,2,2,,train,0.14560240963855425,1.0,0.5847024000000001,0.0021045558959906967,3.7261066,4.310809,0.1445713494959353,0.12159172332002945,0.1486713863380011,0.1445713494959353
4,4,3,,train,0.23439759036144575,1.0,0.649358,0.10664776341451893,3.469321,4.118679,0.2338241943125933,0.19073737826813345,0.22382475246276126,0.2338241943125933
6,6,4,,train,0.17518072289156628,0.989009976387024,0.6210335,0.03706020437825975,3.6076794000000003,4.228713,0.17479034741312996,0.14351372304030524,0.162605421558603,0.17479034741312996
8,8,5,,train,0.16728915662650606,0.23709456622600555,0.77700984,0.028628665867751858,3.298246,4.0752554,0.1674571811608459,0.16192773969712096,0.17050538284415515,0.1674571811608459
10,10,6,,train,0.14042168674698796,0.006392350886017084,0.8862167999999999,-0.005154919163385248,3.0079974999999997,3.894214,0.13848997901135338,0.11712251850912606,0.13627068117861998,0.13848997901135338
12,12,7,,train,0.14090361445783134,0.008026277646422386,0.9207308000000001,-0.002847703746291669,2.8958312999999998,3.8165620000000002,0.14041684778593175,0.1250605505856448,0.14614076326602782,0.14041684778593175
14,14,8,,train,0.15024096385542168,0.014842909760773182,0.9786256,0.0074154324112656435,2.7217915,3.700417,0.1491609744524078,0.1308699822508908,0.15185399149235074,0.1491609744524078
16,16,9,,train,0.14524096385542168,0.012296991422772408,1.0570129,0.0017644561075597074,2.5089947999999995,3.5660079,0.14439133355572165,0.12432732166106487,0.144122922299099,0.14439133355572165
18,18,10,,train,0.14524096385542168,0.015505608171224594,1.1414178999999998,0.001670290077533252,2.3404176,3.4818354,0.14420491669148072,0.12859628963626238,0.1402018223641193,0.14420491669148072
20,20,11,,train,0.14427710843373495,0.009560421109199524,1.143842,0.00110350817558419,2.3417183999999995,3.4855602,0.14384220187876864,0.12718861375690355,0.14986668828436214,0.14384220187876864
22,22,12,,train,0.14572289156626506,0.020432295277714733,1.0860027,0.0029667681552402324,2.5425612999999996,3.628564,0.1453802773684601,0.13424229871471044,0.14827929804123355,0.1453802773684601
24,24,13,,train,0.14566265060240965,0.0091211199760437,1.1777803999999998,0.0024052242545775683,2.2147777000000004,3.392558,0.14484950681825706,0.1336569663386498,0.14592430161374745,0.14484950681825706
26,26,14,,train,0.15042168674698794,0.00833930913358927,1.227682,0.00897148054881037,2.0639724999999998,3.2916546,0.1505864690410506,0.1430593074014938,0.15111489263646724,0.1505864690410506
28,28,15,,train,0.1516867469879518,0.01006509084254503,1.2904773,0.008326994248058842,1.9042310000000002,3.1947083,0.15006114690728006,0.14485365400819608,0.1534490611992654,0.15006114690728006
30,30,16,,train,0.1507831325301205,0.00966772623360157,1.3507631000000002,0.008765334812021564,1.7698851999999998,3.1206481,0.15023319370958818,0.1425147803813673,0.1503581044956053,0.15023319370958818
32,32,17,,train,0.14867469879518072,0.009030836634337902,1.3920563,0.005938886237065242,1.6837016,3.075758,0.1479449906333329,0.13823436231093505,0.1473709737731718,0.1479449906333329
34,34,18,,train,0.15566265060240966,0.013072974979877472,1.4093847,0.01404058272485832,1.6225331,3.031918,0.15471286521456498,0.1427787310399717,0.15282304366620325,0.15471286521456498
36,36,19,,train,0.25349397590361444,0.1940479874610901,1.4707211000000002,0.12963894824242153,1.4294223999999998,2.9001436000000003,0.2543897068790755,0.24373943798463776,0.3091718257273616,0.2543897068790755
38,38,20,,train,0.5654819277108434,0.5587319731712341,1.5356566,0.4931462129787712,1.2211485,2.756805,0.5671470489048281,0.5588714195114903,0.5633503237884444,0.5671470489048281
40,40,21,,train,0.607710843373494,0.5571749806404114,1.5947338,0.5422313816523812,1.1054453000000002,2.7001793,0.6072772469799402,0.6032952179822847,0.6039928017638884,0.6072772469799402
42,42,22,,train,0.6331927710843374,0.5092519521713257,1.674302,0.5720385815364533,0.991735,2.6660367999999997,0.631948827680599,0.6282985727365132,0.6261174676374962,0.631948827680599
44,44,23,,train,0.6473493975903615,0.5045547485351562,1.708589,0.5885649487222557,0.91387975,2.6224689999999997,0.6474826708318938,0.6447351378326923,0.6438720297792367,0.6474826708318938
46,46,24,,train,0.6626506024096386,0.4908697605133057,1.7713439999999998,0.6063823976376169,0.7840921,2.5554361,0.6647318341067666,0.6626876820874118,0.66211716821887,0.6647318341067666
48,48,25,,train,0.6701807228915663,0.4834753572940826,1.8181168,0.6151884893661763,0.69047236,2.5085892999999997,0.6692151519807757,0.6662916330125254,0.6659086033725382,0.6692151519807757
50,50,26,,train,0.6781927710843374,0.4867251813411713,1.8202015999999999,0.6245835992422768,0.70697427,2.527176,0.6785293738770259,0.6756467555884029,0.6742145182728311,0.6785293738770259
52,52,27,,train,0.6873493975903614,0.4866858720779419,1.8516799,0.6352651899449427,0.6011164999999999,2.4527962000000003,0.6893982538544652,0.6865592711717298,0.6864652753614903,0.6893982538544652
54,54,28,,train,0.687289156626506,0.4816277027130127,1.8663568,0.6351537765739371,0.5794635,2.4458206000000002,0.6877033996379822,0.6857022307032311,0.6854373460525466,0.6877033996379822
56,56,29,,train,0.7013855421686747,0.4864189624786377,1.9041171000000001,0.6515919783022684,0.5022762,2.406393,0.7002125914271866,0.6973206253935444,0.6959534055763011,0.7002125914271866
58,58,30,,train,0.7130120481927711,0.4975584745407105,1.9213433999999998,0.6651866003919958,0.43530145,2.356645,0.7142009914267363,0.7128263469139956,0.7120169391225167,0.7142009914267363
60,60,31,,train,0.7192771084337349,0.4793552458286285,1.9558144,0.6724473426901115,0.38777426,2.3435888,0.7180140452712773,0.7155346750215349,0.7141229413989091,0.7180140452712773
62,62,32,,train,0.723132530120482,0.4900195300579071,1.9617431,0.6769221751349137,0.37945482,2.341198,0.7227306953311824,0.7201332511345282,0.7191750558604454,0.7227306953311824
64,64,33,,train,0.7285542168674699,0.4823992252349854,1.9958086,0.6832629363095439,0.2967752,2.2925835,0.7271466349917414,0.7252482154223455,0.7242961487798318,0.7271466349917414
66,66,34,,train,0.7368674698795181,0.4825434386730194,2.013096,0.6929637366302412,0.24050017,2.2535965,0.7365474300412741,0.7341108165005256,0.7342353871175978,0.7365474300412741
68,68,35,,train,0.7341566265060241,0.48091006278991705,2.024284,0.6898364803010381,0.24579054,2.2700744,0.7341055641902818,0.7322919909752021,0.7312157936185211,0.7341055641902818
70,70,36,,train,0.7392168674698795,0.4767241775989533,2.047314,0.6957538934889256,0.2064096,2.2537234,0.7411211439939694,0.7384364256415021,0.7374278316518313,0.7411211439939694
72,72,37,,train,0.7562048192771085,0.4746206402778626,2.1097555,0.7155626241763599,0.06785989999999999,2.1776153999999996,0.7559183888871529,0.7538841300569591,0.7529720095772784,0.7559183888871529
74,74,38,,train,0.7293975903614458,0.4682881236076355,2.0205822,0.6842664705423613,0.27502309999999996,2.295605,0.7297128159984039,0.7273710726565566,0.7260087135513718,0.7297128159984039
76,76,39,,train,0.7488554216867471,0.4612794816493988,2.0969903000000003,0.7070163433175388,0.09419680000000001,2.1911871,0.7492933879872811,0.7471979529731122,0.7468369827438386,0.7492933879872811
78,78,40,,train,0.7551807228915662,0.4533607959747314,2.1438568,0.7143520130859214,-0.0061656027,2.137691,0.7558307754768688,0.7536146519634341,0.7533768555365409,0.7558307754768688
80,80,41,,train,0.7701807228915662,0.4680941104888916,2.15797,0.7318642474272332,-0.046365164,2.1116047000000004,0.7697043668067819,0.7670196737742744,0.7669194216815253,0.7697043668067819
82,82,42,,train,0.7712650602409639,0.4573329985141754,2.1806457000000004,0.7330857985461484,-0.082215734,2.09843,0.7691271078074645,0.7677235112066519,0.7670851764950318,0.7691271078074645
84,84,43,,train,0.7658433734939759,0.453838050365448,2.1799965,0.726808370222811,-0.06816971,2.111827,0.7659452448096632,0.7645178874714506,0.7639833604417005,0.7659452448096632
86,86,44,,train,0.7807228915662651,0.459601640701294,2.2138605,0.744100017625522,-0.16249809,2.0513625,0.7788227510470221,0.7772633402381748,0.7770250060094774,0.7788227510470221
88,88,45,,train,0.7797590361445783,0.4502623081207275,2.2473834,0.7430599349399251,-0.2020119,2.0453715,0.7798091031176604,0.7785549319157494,0.7779286358112191,0.7798091031176604
90,90,46,,train,0.7826506024096386,0.4507432878017426,2.25029,0.7464105754235212,-0.21410249,2.0361872,0.782500503486755,0.7805583096249913,0.7802998041548672,0.782500503486755
92,92,47,,train,0.7771686746987951,0.4666143655776978,2.2278624,0.7400031242780484,-0.18298702,2.0448751,0.7762740986710748,0.7752325217219325,0.7759520685841329,0.7762740986710748
94,94,48,,train,0.7766265060240963,0.4600158333778381,2.2217834,0.7394238673594636,-0.15193611,2.069847,0.7769316599622442,0.7749335077093776,0.7745907004556217,0.7769316599622442
96,96,49,,train,0.7854216867469879,0.4577286839485169,2.2583873,0.7496792682542979,-0.25065568,2.007732,0.7859327043749651,0.7843436629448817,0.7848672750201693,0.7859327043749651
98,98,50,,train,0.7981325301204819,0.45248797535896296,2.294076,0.7644289132782894,-0.315787,1.978289,0.7975667575378432,0.7959121692239141,0.7957516394763938,0.7975667575378432
100,100,51,,train,0.7839156626506024,0.4656880795955658,2.2354653,0.7479020795591083,-0.21338591,2.0220795,0.7831619433292444,0.7817036830235965,0.7825553597029324,0.7831619433292444
102,102,52,,train,0.7991566265060241,0.4458741545677185,2.3108497000000003,0.7656442064292912,-0.3511868,1.9596627,0.7978154134551402,0.7959505836075083,0.7972934604407838,0.7978154134551402
104,104,53,,train,0.7970481927710843,0.463276207447052,2.2838347000000003,0.7632145560415186,-0.30805975,1.9757754,0.7974890380317611,0.7961313322831328,0.7961303917725585,0.7974890380317611
106,106,54,,train,0.7948795180722892,0.4518101513385773,2.2891886,0.7606703476086317,-0.30853114,1.9806572,0.7957669140299236,0.794603309833502,0.7954833729321734,0.7957669140299236
108,108,55,,train,0.8094578313253012,0.4470134973526001,2.3591632999999996,0.7776966697821542,-0.45799768,1.9011657,0.8094816814165476,0.8082524551182937,0.8085790780605022,0.8094816814165476
