,Unnamed: 0,epoch,iteration,mode,accuracy,earliness,earliness_reward,kappa,loss,loss_classification,mean_accuracy,mean_f1,mean_precision,mean_recall
0,0,1,,train,0.1469277108433735,1.0,0.43579942,0.0034325892388859273,8.494997999999999,8.930798,0.1457672131545373,0.14146599682954233,0.14634757381444818,0.1457672131545373
2,2,2,,train,0.1427710843373494,1.0,0.43601838,0.00015297086434126197,8.160006,8.596024,0.142924112087208,0.13023269233310816,0.13870594646821682,0.142924112087208
4,4,3,,train,0.14373493975903615,1.0,0.43588469999999996,0.00012530618334951046,8.148173,8.584059,0.14293760503584915,0.10444074309527153,0.11392809549734767,0.14293760503584915
6,6,4,,train,0.14096385542168674,0.9977859258651732,0.4358335,-0.0038121249221366826,8.145271000000001,8.581105,0.13961993056827932,0.11927295184423545,0.11915324870025892,0.13961993056827932
8,8,5,,train,0.14481927710843373,0.4059042036533356,0.48748684,-0.00025180153251345207,8.106736999999999,8.594224,0.14260929412953136,0.1031304076386134,0.14106411885473708,0.14260929412953136
10,10,6,,train,0.1408433734939759,0.0017070337198674679,0.519687,-0.0016762044897720384,8.074489999999999,8.594177,0.14134748498077093,0.13356399940860253,0.13827234895170498,0.14134748498077093
12,12,7,,train,0.1408433734939759,0.0005550535279326142,0.52030385,-0.003402718586765435,8.055981,8.576285,0.13995161206829712,0.12454648351525148,0.13877374025221248,0.13995161206829712
14,14,8,,train,0.14361445783132532,0.0005227696383371949,0.5207556999999999,0.0009291925474253363,8.061608,8.582363,0.14361449288051878,0.12706415206577254,0.14716437576365468,0.14361449288051878
16,16,9,,train,0.14090361445783134,0.0008470878819935024,0.5200064999999999,-0.003641240637199057,8.071035,8.591042,0.13973697888670902,0.12652001045059194,0.13891195491202693,0.13973697888670902
18,18,10,,train,0.14228915662650599,0.001475496799685061,0.52005714,-0.0013348190688160274,8.065793,8.585851,0.1416957091777608,0.13232991470342045,0.1414672094493983,0.1416957091777608
20,20,11,,train,0.14259036144578313,0.002185340039432049,0.52035993,-0.000888535665044499,8.060019,8.580377,0.14210255470912408,0.12892135990830214,0.1427672606371286,0.14210255470912408
22,22,12,,train,0.14578313253012049,0.0032507984433323145,0.52005094,0.00017627357659085824,8.061892,8.581942,0.14297478318964346,0.11220370298984428,0.14747327078988418,0.14297478318964346
24,24,13,,train,0.14771084337349394,0.0038471391890197992,0.52063584,0.0026767533773744147,8.062035,8.58267,0.1450234225270731,0.12472812644377633,0.14304232440226494,0.1450234225270731
26,26,14,,train,0.145,0.003771317424252629,0.5203042,0.0016352408600883589,8.05264,8.572944,0.14424622352138336,0.1039778571452443,0.1482489846775996,0.14424622352138336
28,28,15,,train,0.1413253012048193,0.0027546081691980358,0.52005047,-0.0021763890401708336,8.0608015,8.580852,0.14098883876409682,0.11476127261303393,0.14174778897730606,0.14098883876409682
30,30,16,,train,0.1386746987951807,0.002541047986596823,0.5196548,-0.0051040621958564035,8.054649000000001,8.574304,0.138425706699922,0.12188792178911605,0.13980669255926206,0.138425706699922
32,32,17,,train,0.14349397590361446,0.0018280904041603208,0.5201031,0.00030481920798553213,8.055119,8.575222,0.14314045078729126,0.12626959024784615,0.13838055950151165,0.14314045078729126
34,34,18,,train,0.1445180722891566,0.001419316278770566,0.52016145,0.0007518503397501153,8.053215,8.573376,0.1434553416032851,0.12675451016058362,0.1399064784267308,0.1434553416032851
36,36,19,,train,0.14662650602409638,0.0011402323143556714,0.5201675,0.00340413191139887,8.055778,8.575944999999999,0.14574027464718542,0.12342549185806145,0.1474383597997222,0.14574027464718542
38,38,20,,train,0.13578313253012048,0.00120100739877671,0.51972467,-0.009226750196978255,8.0580225,8.577748,0.13494851829206087,0.11884145255191078,0.13172705873264207,0.13494851829206087
40,40,21,,train,0.14210843373493975,0.0009567048400640489,0.52046037,-0.002147103197502025,8.052357,8.572817,0.1410278090871154,0.12343610699793595,0.1395468815558973,0.1410278090871154
42,42,22,,train,0.1441566265060241,0.0006713616312481463,0.51999915,-0.00262991377031239,8.053558,8.573557000000001,0.14064944864152792,0.09136003500862876,0.1420130580290559,0.14064944864152792
44,44,23,,train,0.14397590361445786,0.0005306941457092762,0.5210231,0.0009344972215330543,8.046121000000001,8.567144,0.1436613442617334,0.12468695270034015,0.1447337792449212,0.1436613442617334
46,46,24,,train,0.1463855421686747,0.000910915550775826,0.5430319,0.00335433537961736,7.9142113,8.457243,0.14570425872157095,0.12245202960860875,0.14238307723606058,0.14570425872157095
48,48,25,,train,0.1445180722891566,0.01850448735058308,0.61190414,0.001499847304446956,7.378188000000001,7.9900928,0.1441737574844468,0.1193793397834245,0.1391421065314073,0.1441737574844468
50,50,26,,train,0.27319277108433737,0.44383174180984497,0.66686404,0.1519584448417075,6.772237,7.439100999999999,0.272658283467059,0.2438546924715813,0.2569013840022194,0.272658283467059
52,52,27,,train,0.377289156626506,0.7373275756835938,0.71325934,0.2737272697256595,6.30687,7.020128999999999,0.3774167585031507,0.33165234075044925,0.3500180368652073,0.3774167585031507
54,54,28,,train,0.4171084337349398,0.7087368965148926,0.7633734999999999,0.3200269668302409,6.2187805,6.982154400000001,0.4177288246762048,0.4058284088258087,0.406382463109208,0.4177288246762048
56,56,29,,train,0.3437951807228916,0.7229809165000916,0.650856,0.2338042462513605,6.682327000000001,7.333182300000001,0.3419774568116559,0.32106542017641304,0.32367749225613995,0.3419774568116559
58,58,30,,train,0.3842168674698795,0.8859019279479979,0.6747578000000001,0.2812576277733602,6.408717,7.083475,0.3841030449233253,0.34553852439939364,0.3676075886259776,0.3841030449233253
60,60,31,,train,0.4531325301204819,0.7848049402236938,0.78961396,0.362251585035128,5.826257,6.615871,0.4537265983570435,0.3979160600238889,0.4138333644060496,0.4537265983570435
62,62,32,,train,0.4916867469879518,0.8370256423950195,0.8485876,0.4071111429190406,5.45061,6.2991980000000005,0.4903632012277589,0.4284129348903183,0.4553416922456871,0.4903632012277589
64,64,33,,train,0.4871084337349398,0.8133707642555237,0.8808030000000001,0.4016985225078862,5.332187,6.2129902999999995,0.4884914535433178,0.4633395509317579,0.4736323905444879,0.4884914535433178
66,66,34,,train,0.5262650602409639,0.8222840428352356,0.9250264000000001,0.4473239182836823,5.0398474,5.964874299999999,0.5256331783465725,0.4885079013449858,0.4950871456587615,0.5256331783465725
68,68,35,,train,0.5298795180722892,0.8218053579330444,0.9280444999999999,0.4515003142899507,5.0138664,5.9419107,0.5290363379105998,0.5062199160777818,0.508814508370481,0.5290363379105998
70,70,36,,train,0.5546987951807228,0.8142403960227966,0.9792973,0.4799838786662275,4.7924430000000005,5.77174,0.5509145912027715,0.5102151090153316,0.5226801478261719,0.5509145912027715
72,72,37,,train,0.5654819277108434,0.8107081055641174,1.0068965,0.4930009682141148,4.6059785,5.612875,0.5646993055838572,0.5397085028610268,0.5421942284527983,0.5646993055838572
74,74,38,,train,0.5806024096385543,0.8141840100288391,1.0241649,0.510656186312115,4.5122914000000005,5.5364566,0.5793208190799266,0.5640786884123654,0.5618688557179062,0.5793208190799266
76,76,39,,train,0.5959036144578314,0.8113585114479065,1.0557471999999999,0.5285264273705668,4.3088875,5.364635,0.5971797765929228,0.57296103336417,0.5770977587935351,0.5971797765929228
78,78,40,,train,0.6133132530120482,0.8042147755622864,1.0880482,0.5487213649894398,4.2274449999999995,5.315493599999999,0.612817360439902,0.6046840743612047,0.6044285353879503,0.612817360439902
80,80,41,,train,0.6201807228915662,0.8060278296470642,1.0991502,0.5567126400987309,4.1336203000000005,5.232770400000001,0.6180527863524089,0.6120487889169663,0.6108402731945741,0.6180527863524089
82,82,42,,train,0.6358433734939759,0.8151665925979614,1.1146040000000002,0.5750830031465123,4.0618763,5.176480000000001,0.6350583668524376,0.6305973186446785,0.6282923953048013,0.6350583668524376
84,84,43,,train,0.6532530120481927,0.8135137557983398,1.1433258,0.5954333802248685,3.9211156000000003,5.0644417,0.6530986019612213,0.65264448501893,0.6535105380007005,0.6530986019612213
86,86,44,,train,0.6648795180722892,0.8053802251815796,1.1668418999999999,0.6090338151554141,3.7941396000000003,4.9609814000000005,0.6668299174634871,0.6649611603907424,0.6634696017595897,0.6668299174634871
88,88,45,,train,0.6766265060240964,0.8116196990013123,1.1839776000000002,0.6226837409054484,3.7135625,4.89754,0.6766876489509318,0.6747277602863196,0.673542619858177,0.6766876489509318
90,90,46,,train,0.6867469879518072,0.7927666902542114,1.2267057,0.634527360362725,3.56355,4.790255999999999,0.6874015020448425,0.6868208737443467,0.6879478395456787,0.6874015020448425
92,92,47,,train,0.6762048192771084,0.8171130418777466,1.1866791,0.6221947574359926,3.7653468,4.9520254,0.6765201716294748,0.6754019630957321,0.6751784811882651,0.6765201716294748
94,94,48,,train,0.7028915662650602,0.8026353120803833,1.2372545,0.6533580345526901,3.4850705,4.722324400000001,0.7023188840569102,0.7008392786427177,0.7000184927659563,0.7023188840569102
96,96,49,,train,0.7134939759036144,0.8022925853729248,1.2643158,0.6657194744348474,3.3641365,4.6284523,0.7119434569244731,0.7106285106689543,0.7095011642774887,0.7119434569244731
98,98,50,,train,0.7197590361445784,0.8078553676605225,1.2661774,0.6730564864530926,3.356645,4.6228223,0.7188907269077358,0.7179475933671741,0.7181052365543934,0.7188907269077358
100,100,51,,train,0.7219277108433735,0.7983326911926271,1.2771707,0.6755693988732691,3.2871349999999997,4.564305,0.7233703497141185,0.7222186888548796,0.7213248229279909,0.7233703497141185
102,102,52,,train,0.7406024096385542,0.8048934340476991,1.3127746999999999,0.6973990588118253,3.1374521,4.450227,0.7409237398777889,0.7405092273595155,0.7418339619950503,0.7409237398777889
104,104,53,,train,0.7493373493975903,0.7954640388488771,1.3241775,0.7075706883041705,3.0725915,4.396769,0.7508272246324965,0.7506811618203175,0.7527921738239708,0.7508272246324965
106,106,54,,train,0.7615662650602409,0.8049010038375854,1.3394443999999999,0.7217576236040879,3.0090427,4.348487400000001,0.7617883265583701,0.7619846061929303,0.7646938803794411,0.7617883265583701
