,Unnamed: 0,epoch,iteration,mode,accuracy,earliness,earliness_reward,kappa,loss,loss_classification,mean_accuracy,mean_f1,mean_precision,mean_recall
0,0,1,,train,0.14409638554216864,1.0,0.3646311,-0.0008750816211683774,10.831579,11.196209,0.14216671820389162,0.11990980888154927,0.15470835714267048,0.14216671820389162
2,2,2,,train,0.14409638554216864,1.0,0.36400568,0.0009106791201181338,10.386264,10.750268,0.14361944377648345,0.12459925953808484,0.1382975442400592,0.14361944377648345
4,4,3,,train,0.1616867469879518,1.0,0.36558264,0.02078399177478492,10.337999,10.703582,0.16082588645449775,0.13651119395827424,0.16107937453692905,0.16082588645449775
6,6,4,,train,0.2330120481927711,0.9995434880256652,0.40666902,0.10503884532805534,9.861834,10.268502,0.23213901716592106,0.1709312903737792,0.20366683787609213,0.23213901716592106
8,8,5,,train,0.2747590361445783,0.999157965183258,0.44137305,0.15403862579086725,9.407179,9.848552,0.2753982314161239,0.24552206552995584,0.2716545216334608,0.2753982314161239
10,10,6,,train,0.3293975903614458,0.9998043179512024,0.49328142,0.21751597679384005,8.791736,9.285017,0.3297934933051746,0.3050224817254211,0.32450135948309544,0.3297934933051746
12,12,7,,train,0.3580722891566265,0.999938428401947,0.5279971,0.2506876023219443,8.32738,8.855377,0.3561271775025004,0.32343298202385284,0.337106070121608,0.3561271775025004
14,14,8,,train,0.371566265060241,1.0,0.5465220999999999,0.2666620194441501,8.138845,8.685367999999999,0.3718098361571026,0.33667819381473496,0.34909621323146983,0.3718098361571026
16,16,9,,train,0.4346385542168675,1.0,0.5956578,0.34034159957476257,7.562862400000001,8.15852,0.4343325891043211,0.4078003152871377,0.41904776337050575,0.4343325891043211
18,18,10,,train,0.4884337349397591,1.0,0.6523701,0.4028687994643986,7.2416553,7.894025,0.4868569238239582,0.4768040954131357,0.4779604208527005,0.4868569238239582
20,20,11,,train,0.5151204819277109,1.0,0.7000909000000001,0.4344105922477127,6.784794000000001,7.484884700000001,0.5145438207285346,0.5056537798977073,0.5047544690562048,0.5145438207285346
22,22,12,,train,0.5286144578313253,1.0,0.71067727,0.4501242223122687,6.7096976999999995,7.420375999999999,0.5293657265612463,0.5200025760071582,0.5220386457867694,0.5293657265612463
24,24,13,,train,0.5660240963855422,1.0,0.74779457,0.4936867882754229,6.381024,7.128819,0.5672152665274944,0.5611809833934375,0.5607465921647078,0.5672152665274944
26,26,14,,train,0.6027710843373494,1.0,0.7932357,0.5362629090423903,6.0867379999999995,6.879974400000001,0.5981918765551095,0.5956007267290664,0.5955199018977926,0.5981918765551095
28,28,15,,train,0.6254819277108433,1.0,0.81496376,0.562992158209659,5.9535737,6.7685375,0.6231964522249184,0.61985348363041,0.6233832106586089,0.6231964522249184
30,30,16,,train,0.6349397590361445,1.0,0.8289655999999999,0.5741127151367739,5.8008513,6.6298165,0.6369511911523319,0.6343530530554188,0.6328766449269361,0.6369511911523319
32,32,17,,train,0.6556024096385542,1.0,0.86327505,0.5981667479403919,5.6122537,6.475528700000001,0.6542839930086392,0.6539503689525629,0.6568967374344579,0.6542839930086392
34,34,18,,train,0.6850602409638554,1.0,0.8936059999999999,0.6325490616195537,5.333048000000001,6.226654,0.6843128089031473,0.6843163942757898,0.6853543489955424,0.6843128089031473
36,36,19,,train,0.6894578313253013,1.0,0.9074639000000001,0.6377072275242558,5.196196,6.10366,0.6898822338231737,0.6894897417803512,0.6896476115866937,0.6898822338231737
38,38,20,,train,0.6981927710843373,1.0,0.91959065,0.6477575413074866,5.165783,6.085374,0.6974826285027904,0.697745428033403,0.7007033936803853,0.6974826285027904
40,40,21,,train,0.7121686746987952,1.0,0.9359746999999999,0.6641559435501266,5.0802684000000005,6.0162435,0.7114525009226842,0.711065534945125,0.7116436081177658,0.7114525009226842
42,42,22,,train,0.7171686746987952,1.0,0.9443026,0.6699928118415812,4.955522,5.8998246,0.7184065351440285,0.7188537463614237,0.7203258142379914,0.7184065351440285
44,44,23,,train,0.738132530120482,1.0,0.98033166,0.6944887360222846,4.7289639999999995,5.7092953,0.7367003368682913,0.7360833258165934,0.7360640403774574,0.7367003368682913
46,46,24,,train,0.7390361445783132,1.0,0.99616295,0.6955444982741522,4.6555976999999995,5.6517599999999995,0.7383106666905138,0.7374254714335109,0.7378615939837191,0.7383106666905138
48,48,25,,train,0.7374698795180723,1.0,1.0035007,0.6936414526048703,4.595693,5.5991935999999995,0.7373977639696963,0.7376030423252022,0.7400387795487621,0.7373977639696963
50,50,26,,train,0.7533734939759036,1.0,1.0289026,0.7122679656542777,4.4707555999999995,5.499658,0.7529673593675424,0.7528169790383029,0.7533696013007957,0.7529673593675424
52,52,27,,train,0.7581927710843374,1.0,1.0308502,0.7178358503821975,4.4400268,5.4708767,0.7599137319902992,0.7604766926244407,0.7642802707377462,0.7599137319902992
54,54,28,,train,0.7604216867469878,1.0,1.0510247,0.72047544367191,4.3159776,5.3670015,0.7615173174355973,0.7614306129522458,0.7630447656125258,0.7615173174355973
56,56,29,,train,0.7626506024096386,1.0,1.0579352,0.7230078476352413,4.261137000000001,5.3190726999999995,0.7619368741731146,0.7625316966376482,0.7664087924856597,0.7619368741731146
58,58,30,,train,0.7793975903614457,1.0,1.0815573,0.7425729693910618,4.087244999999999,5.1688027000000005,0.7809478784166258,0.7814432475271256,0.7829840167021386,0.7809478784166258
60,60,31,,train,0.7816265060240963,1.0,1.0867646999999998,0.7452204359350953,4.052181,5.138945,0.7831512594394537,0.7835904840911956,0.7861990326419452,0.7831512594394537
62,62,32,,train,0.7828915662650603,1.0,1.1061604,0.7466840425702949,3.9495337,5.055694,0.7834999772536265,0.7840041651380629,0.7881906974121679,0.7834999772536265
64,64,33,,train,0.7769879518072289,1.0,1.1079413999999999,0.7398059148888454,4.0087470000000005,5.1166883,0.7769536005308412,0.776544987680288,0.7777843446859747,0.7769536005308412
66,66,34,,train,0.7882530120481928,1.0,1.1092825000000002,0.7529286114938996,3.9188175000000003,5.028099500000001,0.7872017487457125,0.7872198054500011,0.7890003660394945,0.7872017487457125
68,68,35,,train,0.8010240963855422,1.0,1.1378608000000001,0.7678731106731744,3.7793523999999996,4.917212999999999,0.8008738072941393,0.8007786915619787,0.8027017584917837,0.8008738072941393
70,70,36,,train,0.8042168674698795,1.0,1.1386383,0.7715588363047065,3.72385,4.8624883,0.8027657622901376,0.8027802414846376,0.8047273213316509,0.8027657622901376
72,72,37,,train,0.8119277108433735,1.0,1.1420038000000001,0.780586623203186,3.6814125,4.823416,0.812485146124004,0.8127181736392951,0.8145467204726938,0.812485146124004
74,74,38,,train,0.8160240963855422,0.9999566674232484,1.161235,0.7853447330628524,3.6182652,4.7794995,0.8153377818275241,0.8155774758374313,0.8183004435698705,0.8153377818275241
76,76,39,,train,0.8183132530120482,0.9561380743980408,1.1795013,0.7879944389784802,3.5731678,4.7526684,0.8179977155044347,0.8182479249951591,0.8200116602548876,0.8179977155044347
78,78,40,,train,0.8095180722891566,0.8662036061286926,1.2109423000000001,0.7777364362471606,3.52523,4.7361727,0.808561870389565,0.8087484200602539,0.8109831633247069,0.808561870389565
80,80,41,,train,0.8122289156626507,0.8695560097694397,1.2102947,0.7809059266521592,3.5707135,4.7810082000000005,0.8125493149219974,0.8120944771543729,0.8147733329164423,0.8125493149219974
82,82,42,,train,0.8192771084337349,0.8667190670967102,1.2173432,0.7891138306543577,3.50748,4.724823000000001,0.8198648358964583,0.8201765662636785,0.8216611361696952,0.8198648358964583
84,84,43,,train,0.8198795180722892,0.874917209148407,1.1944888,0.7898414602066346,3.5953788999999996,4.7898674,0.8190666577389701,0.8191561140437081,0.8224686327573509,0.8190666577389701
86,86,44,,train,0.8212048192771084,0.8677868843078613,1.2247891000000002,0.7914202148496082,3.4835987,4.708387999999999,0.8212235259655929,0.8207401182112379,0.8227164929638289,0.8212235259655929
88,88,45,,train,0.8318072289156626,0.8641642928123474,1.2489021,0.8037968753931046,3.3182074999999998,4.56711,0.8321449838181413,0.8319180003041634,0.8337450378679623,0.8321449838181413
