,Unnamed: 0,epoch,iteration,mode,accuracy,earliness,kappa,loss,mean_accuracy,mean_f1,mean_precision,mean_recall,loss_classification,loss_earliness
0,0,1,,train,0.14512048192771085,1.0,0.0002975674166059654,2.0358389999999997,0.14312320402959602,0.11469239683078646,0.14266022810032547,0.14312320402959602,,
2,2,2,,train,0.14361445783132532,1.0,0.0005211710728789072,1.9542343999999998,0.1432760887966975,0.13240418285727618,0.14502755842183987,0.1432760887966975,,
4,4,3,,train,0.1396987951807229,1.0,-0.003584844217240928,1.9518242,0.13972829595982078,0.1299335480235266,0.13792119866727573,0.13972829595982078,,
6,6,4,,train,0.19903614457831328,1.0,0.06577419723880018,1.9220037,0.19889777479711546,0.15964775445238294,0.15509195074352009,0.19889777479711546,,
8,8,5,,train,0.2469879518072289,1.0,0.12208498208065445,1.8153240000000002,0.2483026732253915,0.2000682618477396,0.2370294739614318,0.2483026732253915,,
10,10,6,,train,0.2866265060240964,1.0,0.16841007407749345,1.7495177,0.2881188879499235,0.2634825762159571,0.27346688480776193,0.2881188879499235,,
12,12,7,,train,0.31903614457831325,1.0,0.20470084264166244,1.7137046999999999,0.3163334936102617,0.2756697667131879,0.3117398196240376,0.3163334936102617,,
14,14,8,,train,0.3323493975903615,1.0,0.22077544739874894,1.6779484,0.3322008170917629,0.31256345588583073,0.3242986697868052,0.3322008170917629,,
16,16,9,,train,0.33704819277108433,1.0,0.22697586830769306,1.6686243000000003,0.33845922214676377,0.3114315058770942,0.31678752886490275,0.33845922214676377,,
18,18,10,,train,0.3680120481927711,1.0,0.2624237524975224,1.5996449,0.3675453830790548,0.3415504309912911,0.35858243655721056,0.3675453830790548,,
20,20,11,,train,0.4572891566265061,1.0,0.36698172041589794,1.5027487,0.4566628142635224,0.41666880217622426,0.4412892221915065,0.4566628142635224,,
22,22,12,,train,0.4946385542168675,1.0,0.4097617572823402,1.4434958,0.49255735527111105,0.4756108064404146,0.4849517986170287,0.49255735527111105,,
24,24,13,,train,0.5076506024096386,1.0,0.4254761393840168,1.4146159,0.5086032428472371,0.4942998683736932,0.4973649910939623,0.5086032428472371,,
26,26,14,,train,0.5521084337349398,1.0,0.4773739674900701,1.3531431,0.5493729959339289,0.5308775084962053,0.5323906860956231,0.5493729959339289,,
