,accuracy,earliness,score,nsamples,total_runtimes
0,0.68,0.584347826086956,0.28264347826087,50,0.035
1,0.69,0.486811594202899,0.3541,100,0.035833333333333
2,0.672,0.699652173913043,0.201833739130435,250,0.036944444444445
3,0.714,0.69031884057971,0.221112347826087,500,0.038333333333333
4,0.74,0.677352657004831,0.238759033816425,750,0.040555555555556
5,0.747,0.712391304347826,0.214843695652174,1000,0.043055555555556
6,0.7948,0.659698466758048,0.270471658620704,2500,0.054166666666667
7,0.8104,0.627370578227203,0.301978883404675,5000,0.070277777777778
8,0.8276,0.513595375898976,0.402548466906007,7500,0.088055555555556
9,0.8265,0.433612871099527,0.468118962036241,10000,0.105277777777778
